architecture,ar,bg,bn,cs,da,de,el,en,es,et,fa,fi,fr,ga,hi,hr,hu,it,ja,ko,lt,lv,mt,nl,pl,pt,ro,ru,sk,sl,sv,sw,th,tk,tr,uk,vi,zh,zh-cn
Mars5,,,,,,,,0.7647103726490814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MatchaTTS,,,,,,,,0.410572259802314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MeloTTS,,,,,,,,0.6693306697707249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metavoice-1B,,,,,,,,0.9504373779399903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OpenVoiceV2,,,,,,,,0.2696499547591393,0.06583462357845199,,,,0.04033072283290946,,,,,,,,,,,,,,,,,,,,,,,,,0.008160377665551994,
WhisperSpeech,,,,,,,,0.05798624680184364,,,,,,,,,,,,,,,,,0.2807983139589005,,,,,,,,,,,,,,
bark,0.8320158121366403,0.8093767625209767,0.794289479337192,0.8299699173470726,0.7721232364204715,0.8616231621921361,0.7237989003129441,0.8637753768118509,0.8506761335743213,0.7705139790688299,0.8110143415890252,0.749793344457787,0.8185054556047325,0.7937506882617544,0.8607036960741934,,0.8232057306916686,0.8621493133590211,0.7515142671444328,0.7343138510252729,,,0.8139138916821703,0.7912479800894171,0.8990771111731302,0.7851998694694649,0.7548144381858493,0.8530862171672852,0.8161490465957831,,0.8000757820187464,,0.8748172225679045,0.8738998810666817,0.8618734110633505,0.8566668836272802,,,0.6434116729550687
capacitron-t2-c50,,,,,,,,0.4301666861851322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e2-tts,,,,,,,,0.7857777139926156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
f5-tts,,,,,,,,0.7717926252292782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-deu,,,,,,0.8189050788922614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-eng,,,,,,,,0.8388726039951926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-fin,,,,,,,,,,,,0.947291719827801,,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-fra,,,,,,,,,,,,,0.9656315316396067,,,,,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-hun,,,,,,,,,,,,,,,,,0.7364384858416306,,,,,,,,,,,,,,,,,,,,,,
facebook/mms-tts-nld,,,,,,,,,,,,,,,,,,,,,,,,0.8194993328549026,,,,,,,,,,,,,,,
facebook/mms-tts-ron,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9942711328119039,,,,,,,,,,,,
facebook/mms-tts-rus,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9652647452140227,,,,,,,,,,,
facebook/mms-tts-swe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47920039656719016,,,,,,,
facebook/mms-tts-ukr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11977665677661023,,,
fast_pitch,,,,,,,,0.30617409382107136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glow-tts,,,,,,,,0.06515093224447262,,,0.014402070633572746,,,,,,,0.2874656928960417,,,,,,,,,,,,,,,,,0.005378971869626623,0.009958310841204819,,,
griffin_lim,,,,,,0.9889619430934544,,0.9930268860533833,0.9977165939807892,,,,0.9850534178700764,,,,,0.9804327930221771,,,,,,,0.9927126727681607,,,0.9959006924331189,,,,,,,,0.9822911228546872,,,
jenny,,,,,,,,0.9527475427047466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
microsoft/speecht5_tts,,,,,,,,0.042387760160641386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neural_hmm,,,,,,,,0.3049337940764162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
optispeech,,,,,,,,0.9991925393640995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overflow,,,,,,,,0.6636655109248458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_large_v1,,,,,,,,0.9884510169662535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_mini_v0.1,,,,,,,,0.976488180831424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parler_tts_mini_v1,,,,,,,,0.9830808963032323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speedy-speech,,,,,,,,0.011174487200128166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suno/bark,,,,,,,,0.8355470460138222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
suno/bark-small,,,,,,,,0.5974067051377079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron-DDC,,,,,,,,0.007806789459321392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2,,,,,,,,0.20704586828093757,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DCA,,,,,,0.16768778132292206,,0.6040161787726974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DDC,,,,,,0.996810155342333,,0.7614463012617343,0.019140007747189422,,,,0.05097137347270835,,,,,,,,,,,,,,,,,,,,,,,,,,
tacotron2-DDC-GST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8045581788548661
tacotron2-DDC_ph,,,,,,,,0.9455485614050995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tortoise-v2,,,,,,,,0.9625832765554806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits,,0.1368839045085028,,0.030185672611454255,0.016636134119627506,0.9958162831002846,0.6326153887600117,0.9887361213825643,0.940997404630878,0.41114133425918314,,0.3464863086609548,0.09691302992880535,0.005408011126667133,,0.013453869104146168,0.7467029561308082,0.0006002378638054322,,,0.4898084907776665,0.05288563215577185,0.25668409798982333,,0.20365143135295144,0.017078914748445632,0.5494555674917255,,0.03643577420079507,0.17158541116850481,0.04922254181835932,,,,,0.4600431107640943,,,
vits--neon,,,,,,,,0.9811928547886201,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-female,,,0.9951136187256415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-male,,,0.9966663769475345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vits-neon,,,,,,0.8470610112213471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vixTTS,,,,,,,,0.0159237057741825,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0047328983804698,,
xtts_v1.1,0.19431524142740816,,,0.4322863918359999,,0.2044466089396751,,0.47953113840595507,0.25546003772727044,,,,0.15685275196921336,,,,,0.16502144445778136,0.08740625118802833,,,,,0.3427503642717301,0.6282055507365949,0.08659392951520928,,0.3309958820860966,,,,,,,0.2705594913011446,,,,0.0550325307363
xtts_v2,0.2724781409235347,,,0.38486489747752783,,0.4985812543001812,,0.5124393801263686,0.6209719580273322,,,,0.7138878127211373,,0.19159938222770231,,0.400319772755327,0.5518943816205064,0.24179487398017951,0.10685653796507354,,,,0.38734459516699643,0.6780294765623148,0.32413243780574513,,0.6339647920650751,,,,,,,0.34523815513661604,,,,0.10022018360271064
